,Splate,Species,QG number,Fly-affected?,New York Notes,Cplate,CollectionDate,Latitude,Longitude,Altitude,SubstrateClass,SubstrateNotes,OnGround,ForestType,SubstrateTemp,AmbientTemp,Humidity,SampleNotes,PlateNotes,SplateDate,SplatePicker,SplateFounders,SplateMatingType,Sokehs Ridge Experiment,Don't touch - automated for pivot table
105,C-0044E,Csp384B,4851,0,,C-0044,2023-12-08 02:25:14 UTC,6.85727218,158.218919,650.268776,Rotting_flower,Pwohr,yes,Cloudforest,22.4,NA,NA,,"Several hundred Caeno, m and f/h, l4 and adult, 12/9. Plate A was a bunch of L4s, all now female adults; A discarded.
 12/14, B-f thriving.",2023-12-10 05:36:11 UTC,mrockman@nyu.edu,1 adult herm/female,,,assigned
106,C-0044F,Csp384B,4852,0,,C-0044,2023-12-08 02:25:14 UTC,6.85727218,158.218919,650.268776,Rotting_flower,Pwohr,yes,Cloudforest,22.4,NA,NA,,"Several hundred Caeno, m and f/h, l4 and adult, 12/9. Plate A was a bunch of L4s, all now female adults; A discarded.
 12/14, B-f thriving.",2023-12-10 05:36:18 UTC,mrockman@nyu.edu,1 adult herm/female,,,assigned
408,C-0139H,Csp384B,4853,0,,C-0139,2023-12-09 11:24:32 UTC,6.966595,158.190743,248.510231,Rotting_nut/pod/seed/fruit,SR2E2,yes,Disturbed forest,24.2,24.2,NA,10-50,Many adult herm/fem with plugs. Some L4s perhaps from another slower growing populations. All adults picked had plugs. Tuc 12/10 9PM,2023-12-10 10:08:45 UTC,tuc.nguyen@nyu.edu,1 adult herm/female,,Yes,assigned
38,C-0014C,Csp384B,4854,0,,C-0014,2023-12-07 22:20:06 UTC,6.85091722,158.214573,601.8887,Rotting_nut/pod/seed/fruit,Clinostigma ponapensis - Kotopw,yes,Rainforest,20.9,23.8,99.9,,"20-30 worms, small larvae except two adult Caeno males, 12/9.
 
 Picked 2 L4s, 3 adult fem/herms - 12/10; plate B looks non Caeno, so one L4 picked as plate F. 
 B discarded, males added to A and F.",2023-12-10 01:16:07 UTC,tuc.nguyen@nyu.edu,1 adult herm/female,,,assigned
525,C-0178H,Csp384B,4855,0,,C-0178,2023-12-09 11:26:23 UTC,6.966595,158.190743,248.510231,Rotting_nut/pod/seed/fruit,SR2E5,yes,Disturbed forest,24.2,24.2,NA,100-500,,2023-12-10 12:00:08 UTC,sophia.tintori@nyu.edu,,,Yes,assigned
698,C-0293D,Csp384B,4856,0,,C-0293,2023-12-06 04:04:47 UTC,6.87073636,158.18211,474.757481,Rotting_nut/pod/seed/fruit,Pwehn,yes,Rainforest,21.4,NA,NA,,"Mostly not Caeno, but some, 12/9. Adults, m and f/h. Singled five plugged adults.",2023-12-09 04:49:03 UTC,mrockman@nyu.edu,1 adult herm/female,,,assigned
468,C-0166B,Csp384B,4857,0,,C-0166,2023-12-13 01:10:47 UTC,6.92041278,158.263289,602.536644,Rotting_nut/pod/seed/fruit,Kotop collection,yes,Cloudforest,23,NA,NA,,"100s of worms. Adult male caenorhabditis! 12/14
 
 
 All females. Added males to plates 4PM 12/15",2023-12-14 13:02:39 UTC,tuc.nguyen@nyu.edu,1 L4 herm/female,male/female,,assigned
467,C-0166A,Csp384B,4858,0,,C-0166,2023-12-13 01:10:47 UTC,6.92041278,158.263289,602.536644,Rotting_nut/pod/seed/fruit,Kotop collection,yes,Cloudforest,23,NA,NA,,"100s of worms. Adult male caenorhabditis! 12/14
 
 
 All females. Added males to plates 4PM 12/15",2023-12-14 13:02:33 UTC,tuc.nguyen@nyu.edu,1 L4 herm/female,male/female,,assigned
469,C-0166C,Csp384B,4859,0,,C-0166,2023-12-13 01:10:47 UTC,6.92041278,158.263289,602.536644,Rotting_nut/pod/seed/fruit,Kotop collection,yes,Cloudforest,23,NA,NA,,"100s of worms. Adult male caenorhabditis! 12/14
 
 
 All females. Added males to plates 4PM 12/15",2023-12-14 13:02:44 UTC,tuc.nguyen@nyu.edu,1 L4 herm/female,male/female,,assigned
697,C-0293C,Csp384B,4860,0,,C-0293,2023-12-06 04:04:47 UTC,6.87073636,158.18211,474.757481,Rotting_nut/pod/seed/fruit,Pwehn,yes,Rainforest,21.4,NA,NA,,"Mostly not Caeno, but some, 12/9. Adults, m and f/h. Singled five plugged adults.",2023-12-09 04:48:58 UTC,mrockman@nyu.edu,1 adult herm/female,,,assigned
699,C-0293E,Csp384B,4861,0,,C-0293,2023-12-06 04:04:47 UTC,6.87073636,158.18211,474.757481,Rotting_nut/pod/seed/fruit,Pwehn,yes,Rainforest,21.4,NA,NA,,"Mostly not Caeno, but some, 12/9. Adults, m and f/h. Singled five plugged adults.",2023-12-09 04:49:09 UTC,mrockman@nyu.edu,1 adult herm/female,,,assigned
150,C-0059C,Csp384B,4862,0,"hundreds of dead embryos in cross with 384B 12/29; but repeat cross 1/22 was fine, no Emb phenotype",C-0059,2023-12-08 02:52:34 UTC,6.85774169,158.215582,671.43401,Rotting_nut/pod/seed/fruit,Clinostigma ponapensis - Kotopw pile,yes,Cloudforest,22.2,23.4,99.9,,"Yes Caenorhabditis. Males and herm/fem larvae. 12/09. A is female, male added 12/10. Another 
 12/11.
 12/14, plate A is dead, skiddy bacteria, discarded. B-E look good.",2023-12-10 04:57:37 UTC,mrockman@nyu.edu,1 adult herm/female,,,assigned
239,C-0104A,Csp384B,4863,0,,C-0104,2023-12-13 01:29:17 UTC,6.91898286,158.262429,604.658496,Rotting_nut/pod/seed/fruit,Kotop collection,yes,Cloudforest,23.2,NA,NA,,"1000s of worms. Male and plugged female/hermaphrodite present. 12/14 — Plate F and G were picked as young larvae on 12.14 added males to these plates on 16th. Already had 5 isofemale lines, F&G are extra, wrapped without checking. Should be fine 12/16",2023-12-14 11:18:24 UTC,tuc.nguyen@nyu.edu,1 L4 herm/female,,,assigned
241,C-0104C,Csp384B,4864,0,,C-0104,2023-12-13 01:29:17 UTC,6.91898286,158.262429,604.658496,Rotting_nut/pod/seed/fruit,Kotop collection,yes,Cloudforest,23.2,NA,NA,,"1000s of worms. Male and plugged female/hermaphrodite present. 12/14 — Plate F and G were picked as young larvae on 12.14 added males to these plates on 16th. Already had 5 isofemale lines, F&G are extra, wrapped without checking. Should be fine 12/16",2023-12-14 11:18:36 UTC,tuc.nguyen@nyu.edu,1 L4 herm/female,,,assigned
462,C-0162*A-E,Csp384B,4865,0,,C-0162,2023-12-13 01:07:03 UTC,6.92086289,158.263153,595.218084,Rotting_nut/pod/seed/fruit,Pwohr,yes,Cloudforest,22.6,27.1,94.5,,"100s of worms. Adult male Caenorhabditis present 12/14 
 
 12/15 all worms look dead, something in the bacteria killed them 🥲
 12/16, plate A is laying embryos, and plate F has a few, but the others are not. Consolidated all others onto one plate, along with the male from A. So four f/h and 2 m.",2023-12-14 13:56:06 UTC,tuc.nguyen@nyu.edu,1 L4 herm/female,male/female,,assigned
136,C-0056D,C. tropicalis,4866,0,,C-0056,2023-12-08 01:34:22 UTC,6.85667256,158.222532,666.886364,Rotting_nut/pod/seed/fruit,Pwohr,yes,Cloudforest,21.6,NA,NA,,"Lots of non-Caenorhabditis. Found some caenorhabditis larvae 12/10. Plate is mostly non C but there are a dozen or two C L4 or YA herms, no males. Plate A looks non C, B-F added later.
 Plate A discarded.",2023-12-10 05:59:20 UTC,mrockman@nyu.edu,1 adult herm/female,unknown,,assigned
138,C-0056F,C. tropicalis,4867,0,,C-0056,2023-12-08 01:34:22 UTC,6.85667256,158.222532,666.886364,Rotting_nut/pod/seed/fruit,Pwohr,yes,Cloudforest,21.6,NA,NA,,"Lots of non-Caenorhabditis. Found some caenorhabditis larvae 12/10. Plate is mostly non C but there are a dozen or two C L4 or YA herms, no males. Plate A looks non C, B-F added later.
 Plate A discarded.",2023-12-10 05:59:35 UTC,mrockman@nyu.edu,1 adult herm/female,,,assigned
544,C-0185D,C. tropicalis,4868,0,,C-0185,2023-12-08 01:31:30 UTC,6.85666129,158.22365,664.856422,Rotting_nut/pod/seed/fruit,Pwuhr,yes,Cloudforest,21.8,22.8,99.9,,"One too long worm and exactly five adult herm Caeno, all singled. 12/10.
 12/14, all great.",2023-12-10 02:27:08 UTC,mrockman@nyu.edu,1 adult herm/female,,,assigned
543,C-0185C,C. tropicalis,4869,0,,C-0185,2023-12-08 01:31:30 UTC,6.85666129,158.22365,664.856422,Rotting_nut/pod/seed/fruit,Pwuhr,yes,Cloudforest,21.8,22.8,99.9,,"One too long worm and exactly five adult herm Caeno, all singled. 12/10.
 12/14, all great.",2023-12-10 02:27:02 UTC,mrockman@nyu.edu,1 adult herm/female,,,assigned
454,C-0154C,C. tropicalis,4870,0,,C-0154,2023-12-13 01:13:54 UTC,6.92042448,158.26333,603.582409,Rotting_nut/pod/seed/fruit,Kotop pile,yes,Cloudforest,22.7,26.5,94,,100s of worms. No male present. Could be hermaphrodite caenorhabditis 12/14,2023-12-14 14:26:25 UTC,tuc.nguyen@nyu.edu,1 L4 herm/female,hermaphroditic,,assigned
453,C-0154B,C. tropicalis,4871,0,,C-0154,2023-12-13 01:13:54 UTC,6.92042448,158.26333,603.582409,Rotting_nut/pod/seed/fruit,Kotop pile,yes,Cloudforest,22.7,26.5,94,,100s of worms. No male present. Could be hermaphrodite caenorhabditis 12/14,2023-12-14 14:23:32 UTC,tuc.nguyen@nyu.edu,1 L4 herm/female,hermaphroditic,,assigned
761,C-0352A,Csp384B,4872,0,,C-0352,2023-12-07 03:51:29 UTC,6.906541,158.181706,541.693945,Rotting_nut/pod/seed/fruit,Clinostigma ponapensis - Kotop,yes,Rainforest,22.4,NA,NA,,"12/9, few 10s of worms, several spp, many worms too small to ID. Some Caeno adult males. 12/10, found three mated f/h, a bit sickly, singled all.",2023-12-10 10:52:27 UTC,mrockman@nyu.edu,1 adult herm/female,,,assigned
349,C-0131A,Csp384B,4873,0,,C-0131,2023-12-09 11:22:27 UTC,6.966595,158.190743,248.510231,Rotting_nut/pod/seed/fruit,SR2D4,yes,Disturbed forest,24.2,24.2,NA,10-50,,2023-12-10 08:45:16 UTC,sophia.tintori@nyu.edu,1 adult herm/female,,Yes,assigned
1149,C-0563H,Csp384B,4874,0,,C-0563,2023-12-09 10:35:50 UTC,6.966595,158.190743,248.510231,Rotting_nut/pod/seed/fruit,SR1B2,yes,Disturbed forest,23.1,23.1,NA,100-500,,2023-12-10 01:08:47 UTC,sophia.tintori@nyu.edu,1 adult herm/female,,Yes,assigned
104,C-0044D,Csp384B,4875,0,,C-0044,2023-12-08 02:25:14 UTC,6.85727218,158.218919,650.268776,Rotting_flower,Pwohr,yes,Cloudforest,22.4,NA,NA,,"Several hundred Caeno, m and f/h, l4 and adult, 12/9. Plate A was a bunch of L4s, all now female adults; A discarded.
 12/14, B-f thriving.",2023-12-10 05:36:04 UTC,mrockman@nyu.edu,1 adult herm/female,,,assigned
1230,C-0606C,C. briggsae,4876,0,,C-0606,2023-12-13 01:01:55 UTC,6.92132825,158.263669,625.097837,Rotting_nut/pod/seed/fruit,Kotop,yes,Cloudforest,22.1,29.2,83.5,,"Multiple species. No obvious males. Some caenorhabditis candidates, most likely hermaphrodite 12/14",2023-12-14 13:31:44 UTC,tuc.nguyen@nyu.edu,1 L4 herm/female,hermaphroditic,,assigned
110,C-0048B,Csp384B,4877,0,,C-0048,2023-12-08 03:35:49 UTC,6.8537943,158.215626,646.183556,Rotting_nut/pod/seed/fruit,Pwohr ; this is at the heavily used spot where we had lunch,yes,Cloudforest,22,22.7,99.9,,"Caeno larvae (exclusively), m and f/h 12.09
 
 Picked 5 L4s 11AM 12.10
 All female, one male added to each plate 12/11.
 
 12/14, all doing well.",2023-12-09 23:47:54 UTC,tuc.nguyen@nyu.edu,1 adult herm/female + 1 L4 or adult male,male/female,,assigned
1212,C-0594E,C. tropicalis,4878,0,,C-0594,2023-12-06 01:43:06 UTC,6.86315056,158.174574,204.127019,Rotting_flower,"Wild ginger -invasive , on plant",no,Agroforest,25,25.7,99.9,,"Took a couple of days to grow, but a couple hundred probably caenos on this plate.",2023-12-08 14:02:31 UTC,sophia.tintori@nyu.edu,1 adult herm/female,,,assigned
948,C-0430C,Csp384B,4879,0,,C-0430,2023-12-13 01:42:36 UTC,6.91847508,158.262036,590.519324,Rotting_nut/pod/seed/fruit,Kotop,yes,Cloudforest,22.4,25.4,99.9,,"100s of worms. Adult male and plugged herm/female caenorhabditis present. 12/14
 
 Added male to b,e,c plates. These are all caenorhabditis, but could be different species from different groups. 12/15",2023-12-15 03:08:19 UTC,tuc.nguyen@nyu.edu,1 L4 herm/female,male/female,,assigned
1232,C-0606E,C. briggsae,4880,0,,C-0606,2023-12-13 01:01:55 UTC,6.92132825,158.263669,625.097837,Rotting_nut/pod/seed/fruit,Kotop,yes,Cloudforest,22.1,29.2,83.5,,"Multiple species. No obvious males. Some caenorhabditis candidates, most likely hermaphrodite 12/14",2023-12-14 13:31:55 UTC,tuc.nguyen@nyu.edu,1 L4 herm/female,hermaphroditic,,assigned
1048,C-0510C,Csp384B,4881,0,,C-0510,2023-12-13 01:38:15 UTC,6.91849048,158.262007,589.638439,Rotting_nut/pod/seed/fruit,Kotop and soil,yes,Cloudforest,22.6,25.3,99.9,,100s of worms. Adult male caenorhabditis present. 12/14,2023-12-14 13:39:19 UTC,tuc.nguyen@nyu.edu,1 L4 herm/female,male/female,,assigned
1047,C-0510B,Csp384B,4882,0,,C-0510,2023-12-13 01:38:15 UTC,6.91849048,158.262007,589.638439,Rotting_nut/pod/seed/fruit,Kotop and soil,yes,Cloudforest,22.6,25.3,99.9,,100s of worms. Adult male caenorhabditis present. 12/14,2023-12-14 13:39:13 UTC,tuc.nguyen@nyu.edu,1 L4 herm/female,male/female,,assigned
244,C-0104F,Csp384B,4883,0,,C-0104,2023-12-13 01:29:17 UTC,6.91898286,158.262429,604.658496,Rotting_nut/pod/seed/fruit,Kotop collection,yes,Cloudforest,23.2,NA,NA,,"1000s of worms. Male and plugged female/hermaphrodite present. 12/14 — Plate F and G were picked as young larvae on 12.14 added males to these plates on 16th. Already had 5 isofemale lines, F&G are extra, wrapped without checking. Should be fine 12/16",2023-12-15 23:46:25 UTC,tuc.nguyen@nyu.edu,1 L4 herm/female,male/female,,assigned
152,C-0059E,Csp384B,4884,0,very few cross F1s 12/29; but repeat on 1/22 totally fine. ,C-0059,2023-12-08 02:52:34 UTC,6.85774169,158.215582,671.43401,Rotting_nut/pod/seed/fruit,Clinostigma ponapensis - Kotopw pile,yes,Cloudforest,22.2,23.4,99.9,,"Yes Caenorhabditis. Males and herm/fem larvae. 12/09. A is female, male added 12/10. Another 
 12/11.
 12/14, plate A is dead, skiddy bacteria, discarded. B-E look good.",2023-12-10 04:55:56 UTC,mrockman@nyu.edu,1 adult herm/female,,,assigned
240,C-0104B,Csp384B,4885,0,,C-0104,2023-12-13 01:29:17 UTC,6.91898286,158.262429,604.658496,Rotting_nut/pod/seed/fruit,Kotop collection,yes,Cloudforest,23.2,NA,NA,,"1000s of worms. Male and plugged female/hermaphrodite present. 12/14 — Plate F and G were picked as young larvae on 12.14 added males to these plates on 16th. Already had 5 isofemale lines, F&G are extra, wrapped without checking. Should be fine 12/16",2023-12-14 11:18:29 UTC,tuc.nguyen@nyu.edu,1 adult herm/female,,,assigned
461,C-0162A,Csp384B,4886,0,,C-0162,2023-12-13 01:07:03 UTC,6.92086289,158.263153,595.218084,Rotting_nut/pod/seed/fruit,Pwohr,yes,Cloudforest,22.6,27.1,94.5,,"100s of worms. Adult male Caenorhabditis present 12/14 
 
 12/15 all worms look dead, something in the bacteria killed them 🥲
 12/16, plate A is laying embryos, and plate F has a few, but the others are not. Consolidated all others onto one plate, along with the male from A. So four f/h and 2 m.",2023-12-14 13:56:00 UTC,tuc.nguyen@nyu.edu,1 L4 herm/female,male/female,,assigned
695,C-0293A,Csp384B,4887,0,,C-0293,2023-12-06 04:04:47 UTC,6.87073636,158.18211,474.757481,Rotting_nut/pod/seed/fruit,Pwehn,yes,Rainforest,21.4,NA,NA,,"Mostly not Caeno, but some, 12/9. Adults, m and f/h. Singled five plugged adults.",2023-12-09 04:48:45 UTC,mrockman@nyu.edu,1 adult herm/female,,,assigned
993,C-0465B,Csp384B,4888,0,,C-0465,2023-12-13 01:32:10 UTC,6.91883669,158.262458,605.024264,Rotting_nut/pod/seed/fruit,Kotop collection,yes,Cloudforest,23.4,25.6,99.9,,100s of worms. Adult male and plugged female/hermaphrodite Caenorhabditis present. 12/14,2023-12-14 11:47:47 UTC,tuc.nguyen@nyu.edu,1 L4 herm/female,male/female,,assigned
992,C-0465A,Csp384B,4889,0,,C-0465,2023-12-13 01:32:10 UTC,6.91883669,158.262458,605.024264,Rotting_nut/pod/seed/fruit,Kotop collection,yes,Cloudforest,23.4,25.6,99.9,,100s of worms. Adult male and plugged female/hermaphrodite Caenorhabditis present. 12/14,2023-12-14 11:47:38 UTC,tuc.nguyen@nyu.edu,1 L4 herm/female,male/female,,assigned
39,C-0014D,Csp384B,4890,0,,C-0014,2023-12-07 22:20:06 UTC,6.85091722,158.214573,601.8887,Rotting_nut/pod/seed/fruit,Clinostigma ponapensis - Kotopw,yes,Rainforest,20.9,23.8,99.9,,"20-30 worms, small larvae except two adult Caeno males, 12/9.
 
 Picked 2 L4s, 3 adult fem/herms - 12/10; plate B looks non Caeno, so one L4 picked as plate F. 
 B discarded, males added to A and F.",2023-12-10 01:16:13 UTC,tuc.nguyen@nyu.edu,1 adult herm/female,,,assigned
135,C-0056C,C. tropicalis,4891,0,,C-0056,2023-12-08 01:34:22 UTC,6.85667256,158.222532,666.886364,Rotting_nut/pod/seed/fruit,Pwohr,yes,Cloudforest,21.6,NA,NA,,"Lots of non-Caenorhabditis. Found some caenorhabditis larvae 12/10. Plate is mostly non C but there are a dozen or two C L4 or YA herms, no males. Plate A looks non C, B-F added later.
 Plate A discarded.",2023-12-10 05:58:12 UTC,mrockman@nyu.edu,1 L4 herm/female,hermaphroditic,,assigned
455,C-0154D,C. tropicalis,4892,0,,C-0154,2023-12-13 01:13:54 UTC,6.92042448,158.26333,603.582409,Rotting_nut/pod/seed/fruit,Kotop pile,yes,Cloudforest,22.7,26.5,94,,100s of worms. No male present. Could be hermaphrodite caenorhabditis 12/14,2023-12-14 14:26:30 UTC,tuc.nguyen@nyu.edu,1 L4 herm/female,hermaphroditic,,assigned
591,C-0211B,C. tropicalis,4893,0,,C-0211,2023-12-08 02:50:24 UTC,6.85771073,158.215716,617.309047,Rotting_nut/pod/seed/fruit,Clinostigma ponapensis - Kotopw,yes,Cloudforest,22.9,24.1,99.9,,"More than one species. One adult hermaphrodite, already laid embryos. Could be elegans. 12/09. 12/10, one more young adult, picked as plate B.",2023-12-10 05:02:36 UTC,mrockman@nyu.edu,1 adult herm/female,,,assigned
990,C-0457D,C. tropicalis,4894,0,,C-0457,2023-12-13 01:17:30 UTC,6.91961398,158.263061,605.460059,Rotting_nut/pod/seed/fruit,Kotop pile,yes,Cloudforest,23.1,25.8,99.9,,"10s of worms. No obvious males. Lots of larvae. 
 Caenorhabditis candidates are most likely hermaphrodite. 12/14
 
 
 All plates but C have embryos laid. 12/15 could be male/female but no male seem. Could be young adult too. Check again later. 12/15
 
 Plate C now has embryos. Hermaphrodite 12/16",2023-12-14 12:32:54 UTC,tuc.nguyen@nyu.edu,1 L4 herm/female,hermaphroditic,,assigned
947,C-0430B,Csp384B,4895,0,,C-0430,2023-12-13 01:42:36 UTC,6.91847508,158.262036,590.519324,Rotting_nut/pod/seed/fruit,Kotop,yes,Cloudforest,22.4,25.4,99.9,,"100s of worms. Adult male and plugged herm/female caenorhabditis present. 12/14
 
 Added male to b,e,c plates. These are all caenorhabditis, but could be different species from different groups. 12/15",2023-12-15 03:08:14 UTC,tuc.nguyen@nyu.edu,1 L4 herm/female,male/female,,assigned
1231,C-0606D,C. briggsae,4896,0,,C-0606,2023-12-13 01:01:55 UTC,6.92132825,158.263669,625.097837,Rotting_nut/pod/seed/fruit,Kotop,yes,Cloudforest,22.1,29.2,83.5,,"Multiple species. No obvious males. Some caenorhabditis candidates, most likely hermaphrodite 12/14",2023-12-14 13:31:49 UTC,tuc.nguyen@nyu.edu,1 L4 herm/female,hermaphroditic,,assigned
137,C-0056E,C. tropicalis,4897,0,,C-0056,2023-12-08 01:34:22 UTC,6.85667256,158.222532,666.886364,Rotting_nut/pod/seed/fruit,Pwohr,yes,Cloudforest,21.6,NA,NA,,"Lots of non-Caenorhabditis. Found some caenorhabditis larvae 12/10. Plate is mostly non C but there are a dozen or two C L4 or YA herms, no males. Plate A looks non C, B-F added later.
 Plate A discarded.",2023-12-10 05:59:28 UTC,mrockman@nyu.edu,1 adult herm/female,,,assigned
986,C-0454E,Csp384B,4898,0,,C-0454,2023-12-13 01:28:59 UTC,6.91896328,158.262426,605.135237,Rotting_nut/pod/seed/fruit,Kotop,yes,Cloudforest,23.4,25.9,99.9,,10s of worms. Fewer than 50. Adult male and plugged female/herm caenorhabditis. 12/14,2023-12-14 11:25:39 UTC,tuc.nguyen@nyu.edu,1 L4 herm/female,male/female,,assigned
949,C-0430D,Csp384B,4899,0,,C-0430,2023-12-13 01:42:36 UTC,6.91847508,158.262036,590.519324,Rotting_nut/pod/seed/fruit,Kotop,yes,Cloudforest,22.4,25.4,99.9,,"100s of worms. Adult male and plugged herm/female caenorhabditis present. 12/14
 
 Added male to b,e,c plates. These are all caenorhabditis, but could be different species from different groups. 12/15",2023-12-15 03:08:25 UTC,tuc.nguyen@nyu.edu,1 L4 herm/female,hermaphroditic,,assigned
950,C-0430E,Csp384B,4900,0,,C-0430,2023-12-13 01:42:36 UTC,6.91847508,158.262036,590.519324,Rotting_nut/pod/seed/fruit,Kotop,yes,Cloudforest,22.4,25.4,99.9,,"100s of worms. Adult male and plugged herm/female caenorhabditis present. 12/14
 
 Added male to b,e,c plates. These are all caenorhabditis, but could be different species from different groups. 12/15",2023-12-15 03:08:31 UTC,tuc.nguyen@nyu.edu,1 L4 herm/female,male/female,,assigned
985,C-0454D,Csp384B,4901,0,,C-0454,2023-12-13 01:28:59 UTC,6.91896328,158.262426,605.135237,Rotting_nut/pod/seed/fruit,Kotop,yes,Cloudforest,23.4,25.9,99.9,,10s of worms. Fewer than 50. Adult male and plugged female/herm caenorhabditis. 12/14,2023-12-14 11:25:34 UTC,tuc.nguyen@nyu.edu,1 adult herm/female,,,assigned
994,C-0465C,Csp384B,4902,0,,C-0465,2023-12-13 01:32:10 UTC,6.91883669,158.262458,605.024264,Rotting_nut/pod/seed/fruit,Kotop collection,yes,Cloudforest,23.4,25.6,99.9,,100s of worms. Adult male and plugged female/hermaphrodite Caenorhabditis present. 12/14,2023-12-14 11:47:52 UTC,tuc.nguyen@nyu.edu,1 L4 herm/female,male/female,,assigned
1258,C-0629B,C. tropicalis,4903,0,,C-0629,2023-12-12 23:40:28 UTC,6.95694745,158.208577,36.1183624,Rotting_nut/pod/seed/fruit,Pre-coconut,yes,Urban,27.4,NA,NA,,"20+ worms. Oscheius looking worms. Check again 12/14. 12/15, these are Caeno. Picked five.",2023-12-15 07:39:41 UTC,mrockman@nyu.edu,1 adult herm/female,,,assigned
987,C-0457A,C. tropicalis,4904,0,,C-0457,2023-12-13 01:17:30 UTC,6.91961398,158.263061,605.460059,Rotting_nut/pod/seed/fruit,Kotop pile,yes,Cloudforest,23.1,25.8,99.9,,"10s of worms. No obvious males. Lots of larvae. 
 Caenorhabditis candidates are most likely hermaphrodite. 12/14
 
 
 All plates but C have embryos laid. 12/15 could be male/female but no male seem. Could be young adult too. Check again later. 12/15
 
 Plate C now has embryos. Hermaphrodite 12/16",2023-12-14 12:32:35 UTC,tuc.nguyen@nyu.edu,1 L4 herm/female,hermaphroditic,,assigned
69,C-0021D,Csp384B,4905,0,,C-0021,2023-12-08 03:28:02 UTC,6.966595,158.190743,248.510231,Rotting_nut/pod/seed/fruit,SR2R7,yes,Rainforest,24.2,24.2,NA,50,,2023-12-10 05:51:20 UTC,sophia.tintori@nyu.edu,1 adult herm/female,,Yes,assigned
996,C-0465E,Csp384B,4906,0,,C-0465,2023-12-13 01:32:10 UTC,6.91883669,158.262458,605.024264,Rotting_nut/pod/seed/fruit,Kotop collection,yes,Cloudforest,23.4,25.6,99.9,,100s of worms. Adult male and plugged female/hermaphrodite Caenorhabditis present. 12/14,2023-12-14 11:48:04 UTC,tuc.nguyen@nyu.edu,1 L4 herm/female,male/female,,assigned
1049,C-0510D,Csp384B,4907,0,,C-0510,2023-12-13 01:38:15 UTC,6.91849048,158.262007,589.638439,Rotting_nut/pod/seed/fruit,Kotop and soil,yes,Cloudforest,22.6,25.3,99.9,,100s of worms. Adult male caenorhabditis present. 12/14,2023-12-14 13:39:25 UTC,tuc.nguyen@nyu.edu,1 L4 herm/female,male/female,,assigned
1046,C-0510A,Csp384B,4908,0,,C-0510,2023-12-13 01:38:15 UTC,6.91849048,158.262007,589.638439,Rotting_nut/pod/seed/fruit,Kotop and soil,yes,Cloudforest,22.6,25.3,99.9,,100s of worms. Adult male caenorhabditis present. 12/14,2023-12-14 13:39:07 UTC,tuc.nguyen@nyu.edu,1 L4 herm/female,male/female,,assigned
908,C-0415D,Csp384B,4909,0,,C-0415,2023-12-06 03:49:39 UTC,6.8705988,158.181956,496.101461,Rotting_nut/pod/seed/fruit,Pwehr,yes,Rainforest,20.7,NA,NA,,"~15 Caeno juveniles. A did not make offspring, adding males.",2023-12-07 10:53:27 UTC,mrockman@nyu.edu,1 adult herm/female,,,assigned
988,C-0457B,C. tropicalis,4910,0,,C-0457,2023-12-13 01:17:30 UTC,6.91961398,158.263061,605.460059,Rotting_nut/pod/seed/fruit,Kotop pile,yes,Cloudforest,23.1,25.8,99.9,,"10s of worms. No obvious males. Lots of larvae. 
 Caenorhabditis candidates are most likely hermaphrodite. 12/14
 
 
 All plates but C have embryos laid. 12/15 could be male/female but no male seem. Could be young adult too. Check again later. 12/15
 
 Plate C now has embryos. Hermaphrodite 12/16",2023-12-14 12:32:41 UTC,tuc.nguyen@nyu.edu,1 L4 herm/female,hermaphroditic,,assigned
907,C-0415C,Csp384B,4911,0,,C-0415,2023-12-06 03:49:39 UTC,6.8705988,158.181956,496.101461,Rotting_nut/pod/seed/fruit,Pwehr,yes,Rainforest,20.7,NA,NA,,"~15 Caeno juveniles. A did not make offspring, adding males.",2023-12-07 10:53:18 UTC,mrockman@nyu.edu,1 adult herm/female,,,assigned
47,C-0017F,Csp384B,4912,0,very slow cross proliferation,C-0017,2023-12-08 03:28:38 UTC,6.966595,158.190743,248.510231,Rotting_nut/pod/seed/fruit,SR2R8,yes,Rainforest,24.2,24.2,NA,50,,2023-12-10 05:00:14 UTC,sophia.tintori@nyu.edu,1 adult herm/female,,Yes,assigned
304,C-0123G,Csp384B,4913,0,,C-0123,2023-12-09 11:23:17 UTC,6.966595,158.190743,248.510231,Rotting_nut/pod/seed/fruit,SR2D5,yes,Disturbed forest,24.2,24.2,NA,100-500,,2023-12-10 10:07:31 UTC,sophia.tintori@nyu.edu,,,Yes,assigned
66,C-0021A,Csp384B,4914,0,"some cross Emb, Lva",C-0021,2023-12-08 03:28:02 UTC,6.966595,158.190743,248.510231,Rotting_nut/pod/seed/fruit,SR2R7,yes,Rainforest,24.2,24.2,NA,50,,2023-12-10 05:51:01 UTC,sophia.tintori@nyu.edu,1 adult herm/female,,Yes,assigned
983,C-0454B,Csp384B,4915,0,,C-0454,2023-12-13 01:28:59 UTC,6.91896328,158.262426,605.135237,Rotting_nut/pod/seed/fruit,Kotop,yes,Cloudforest,23.4,25.9,99.9,,10s of worms. Fewer than 50. Adult male and plugged female/herm caenorhabditis. 12/14,2023-12-14 11:25:21 UTC,tuc.nguyen@nyu.edu,1 adult herm/female,,,assigned
